top - 15:05:21 up  1:27,  1 user,  load average: 1.09, 0.43, 0.31
Tasks: 318 total,   2 running, 316 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.8 us,  7.7 sy,  0.0 ni, 88.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    235.8 free,   2184.5 used,   1416.7 buff/cache     
MiB Swap:   3730.0 total,   3729.5 free,      0.5 used.   1683.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8993 dev-onb+  20   0   14500   5480   3432 R  15.4   0.1   0:00.04 top
   3151 dev-onb+  20   0 3925952 310728 139028 R   7.7   7.8   3:03.44 gnome-s+
   2787 dev-onb+  20   0   21116  12492   9424 S   0.0   0.3   0:00.61 systemd
   2789 dev-onb+  20   0   21460   3656   1840 S   0.0   0.1   0:00.00 (sd-pam)
   2804 dev-onb+   9 -11  117744  16128   8880 S   0.0   0.4   1:11.22 pipewire
   2811 dev-onb+  20   0   98136   5832   5064 S   0.0   0.1   0:00.01 pipewire
   2813 dev-onb+   9 -11  407188  18764  13772 S   0.0   0.5   0:00.78 wireplu+
   2814 dev-onb+   9 -11  121680  16364  10588 S   0.0   0.4   0:00.46 pipewir+
   2824 dev-onb+  20   0  316936  10208   9184 S   0.0   0.3   0:00.09 gnome-k+
   2825 dev-onb+  20   0   11356   6992   4616 S   0.0   0.2   0:01.02 dbus-da+
   2860 dev-onb+  20   0  685484   7108   6468 S   0.0   0.2   0:00.07 xdg-doc+
   2864 dev-onb+  20   0  309868   5880   5496 S   0.0   0.1   0:00.00 xdg-per+
   2900 dev-onb+  20   0  235668   6184   5800 S   0.0   0.2   0:00.00 gdm-way+
   2904 dev-onb+  20   0  298236  16504  14584 S   0.0   0.4   0:00.03 gnome-s+
   2987 dev-onb+  20   0  162652   6684   6172 S   0.0   0.2   0:00.00 gcr-ssh+
   2989 dev-onb+  20   0   91548   5580   5196 S   0.0   0.1   0:00.00 gnome-s+
   3004 dev-onb+  20   0  314264   8016   7248 S   0.0   0.2   0:00.07 gvfsd
   3031 dev-onb+  20   0  459708   7052   6284 S   0.0   0.2   0:00.00 gvfsd-f+
   3127 dev-onb+  20   0  733480  18048  15488 S   0.0   0.5   0:00.12 gnome-s+
   3150 dev-onb+  20   0  382932   7688   7048 S   0.0   0.2   0:00.01 at-spi-+
   3167 dev-onb+  20   0    9612   5144   4632 S   0.0   0.1   0:00.06 dbus-da+
   3215 dev-onb+  20   0  236068   7504   6864 S   0.0   0.2   0:00.02 at-spi2+
   3228 dev-onb+  20   0  655840  22200  18452 S   0.0   0.6   0:00.05 gnome-s+
